id	lead_time	arrival_date_month	arrival_date_day_of_month	stays_in_weekend_nights	stays_in_week_nights	adults	children	reserved_room_type	rate
1	342	July	1	0	0	2	0	0	0.00
2	737	July	1	0	0	2	0	0	0.00
3	7	July	1	0	1	1	0	0	75.00
4	13	July	1	0	1	1	0	0	75.00
5	14	July	1	0	2	2	0	0	98.00
6	14	July	1	0	2	2	0	0	98.00
7	0	July	1	0	2	2	0	0	107.00
8	9	July	1	0	2	2	0	0	103.00
9	85	July	1	0	3	2	0	0	82.00
10	75	July	1	0	3	2	0	0	105.50
11	23	July	1	0	4	2	0	0	123.00
12	35	July	1	0	4	2	0	0	145.00
13	68	July	1	0	4	2	0	0	97.00
14	18	July	1	0	4	2	1	0	154.77
15	37	July	1	0	4	2	0	0	94.71
16	68	July	1	0	4	2	0	0	97.00
17	37	July	1	0	4	2	0	0	97.50
18	12	July	1	0	1	2	0	0	88.20
19	0	July	1	0	1	2	0	0	107.42
20	7	July	1	0	4	2	0	0	153.00
21	37	July	1	1	4	1	0	0	97.29
22	72	July	1	2	4	2	0	0	84.67
23	72	July	1	2	4	2	0	0	84.67
24	72	July	1	2	4	2	0	0	99.67
25	127	July	1	2	5	2	0	0	94.95
26	78	July	1	2	5	2	0	0	63.60
27	48	July	1	2	5	2	0	0	79.50
28	60	July	1	2	5	2	0	0	107.00
29	77	July	1	2	5	2	0	0	94.00
30	99	July	1	2	5	2	0	0	87.30
31	118	July	1	4	10	1	0	0	62.00
32	95	July	1	4	11	2	0	0	63.86
33	96	July	1	2	8	2	0	0	108.30
34	69	July	2	2	4	2	0	0	65.50
35	45	July	2	1	3	3	0	0	108.80
36	40	July	2	1	3	3	0	0	108.80
37	15	July	2	1	3	2	0	0	98.00
38	36	July	2	1	3	3	0	0	108.80
39	43	July	2	1	3	3	0	0	108.80
40	70	July	2	2	3	2	0	0	137.00
41	45	July	2	2	3	2	0	0	117.81
42	45	July	2	2	3	2	0	0	79.50
43	16	July	2	2	3	2	0	0	123.00
44	70	July	2	2	3	2	0	0	137.00
45	107	July	2	2	5	2	0	0	110.70
46	47	July	2	2	5	2	2	0	153.00
47	96	July	2	2	5	2	0	0	58.95
48	113	July	2	2	5	2	0	0	82.88
49	90	July	2	2	5	2	0	0	82.35
50	50	July	2	2	5	2	0	0	119.35
51	113	July	2	2	5	2	0	0	67.58
52	93	July	2	3	8	2	0	0	56.01
53	76	July	2	4	10	2	0	0	110.70
54	3	July	2	0	1	2	0	0	88.20
55	1	July	2	0	1	2	0	0	147.00
56	1	July	2	0	1	2	2	0	107.00
57	0	July	2	0	1	2	0	0	147.00
58	0	July	2	0	1	2	0	0	117.90
59	0	July	2	0	1	2	0	0	123.00
60	14	July	2	0	2	2	0	0	98.00
61	10	July	2	0	2	2	0	0	117.81
62	5	July	2	0	2	2	0	0	135.00
63	17	July	2	0	3	2	0	0	133.00
64	93	July	2	0	3	2	0	0	58.95
65	3	July	2	0	3	2	0	0	136.33
66	10	July	3	0	2	2	2	0	153.00
67	3	July	3	0	2	2	0	0	110.50
68	51	July	3	0	2	2	0	0	97.00
69	71	July	3	0	2	3	0	0	110.30
70	63	July	3	0	2	2	0	0	82.00
71	62	July	3	0	2	2	0	0	97.00
72	101	July	3	0	2	2	0	0	73.80
73	2	July	3	0	2	2	0	0	91.50
74	15	July	3	0	2	2	0	0	114.50
75	51	July	3	0	2	3	0	0	110.30
76	3	July	3	1	2	2	0	0	90.90
77	48	July	3	1	2	2	0	0	123.00
78	2	July	3	2	2	1	0	0	122.00
79	72	July	3	2	2	2	0	0	110.70
80	81	July	3	2	6	3	0	0	85.86
81	99	July	3	2	7	2	0	0	58.95
82	368	July	3	3	7	2	0	0	55.68
83	364	July	3	3	7	2	0	0	55.68
84	81	July	3	3	7	2	0	0	124.00
85	99	July	3	3	7	2	0	0	111.15
86	324	July	3	4	10	2	0	0	134.73
87	69	July	3	4	10	2	0	0	92.45
88	79	July	3	6	15	2	1	0	108.73
89	12	July	3	0	1	2	0	0	73.80
90	9	July	3	0	1	2	0	0	98.00
91	1	July	3	0	1	2	0	0	131.00
92	21	July	3	0	1	2	0	0	123.00
93	9	July	3	0	1	2	0	0	94.71
94	109	July	3	0	1	2	0	0	123.00
95	109	July	3	0	2	2	0	0	123.00
96	72	July	3	0	2	2	0	0	73.80
97	63	July	3	2	5	2	0	0	117.00
98	63	July	3	2	5	3	0	0	196.54
99	101	July	3	2	5	2	1	0	99.30
100	102	July	3	2	5	2	0	0	90.95
101	4	July	4	2	1	2	0	0	92.67
102	98	July	4	2	1	2	0	0	71.55
103	92	July	4	2	4	1	2	0	96.49
104	95	July	4	2	4	2	0	0	85.80
105	102	July	4	2	5	2	0	0	96.30
106	26	July	4	2	5	2	2	0	163.00
107	73	July	4	2	5	3	0	0	172.00
108	102	July	4	2	5	2	0	0	110.70
109	115	July	4	2	5	2	0	0	58.95
110	102	July	4	2	5	2	0	1	73.80
111	86	July	4	2	5	2	0	0	97.00
112	78	July	4	2	5	2	0	1	139.00
113	52	July	4	2	5	2	0	0	67.24
114	29	July	4	2	6	3	0	0	116.50
115	101	July	4	2	6	2	0	0	96.30
116	109	July	4	2	6	2	0	0	123.00
117	92	July	4	4	6	2	0	0	71.55
118	92	July	4	4	6	2	0	0	71.55
119	79	July	4	4	6	2	1	0	149.00
120	2	July	4	0	1	2	2	0	163.00
121	30	July	4	0	1	2	0	0	79.50
122	51	July	4	0	1	1	0	0	105.00
123	36	July	4	0	1	1	0	0	123.00
124	73	July	4	0	1	2	0	0	73.80
125	33	July	4	0	1	2	0	0	113.00
126	32	July	4	0	1	4	0	0	0.00
127	8	July	4	0	1	2	0	0	123.00
128	100	July	4	1	1	2	0	0	73.80
129	1	July	4	1	1	2	0	0	114.50
130	100	July	4	1	1	2	0	0	73.80
131	100	July	4	1	1	2	0	0	73.80
132	9	July	5	1	0	2	0	0	88.20
133	5	July	5	1	0	2	0	0	97.00
134	0	July	5	1	0	2	0	0	85.10
135	9	July	5	1	0	1	0	0	89.00
136	2	July	5	1	0	1	0	0	80.10
137	2	July	5	1	0	2	0	0	98.00
138	9	July	5	1	0	1	0	0	101.00
139	5	July	5	1	0	2	0	0	97.00
140	2	July	5	1	0	2	0	0	167.00
141	44	July	5	2	0	3	0	0	225.00
142	80	July	5	2	0	2	0	0	97.00
143	97	July	5	2	2	2	0	0	87.30
144	109	July	5	2	3	2	1	0	85.59
145	30	July	5	2	3	2	0	0	123.00
146	64	July	5	2	3	2	0	0	107.00
147	39	July	5	2	4	2	0	0	163.00
148	90	July	5	2	4	2	0	0	82.00
149	34	July	5	2	4	2	2	0	163.00
150	93	July	5	2	5	2	0	0	105.50
151	97	July	5	2	5	2	2	0	164.20
152	29	July	5	2	5	2	0	0	97.29
153	101	July	5	2	5	2	0	0	114.00
154	27	July	5	2	5	2	0	0	98.40
155	8	July	5	4	5	2	2	0	175.00
156	82	July	5	4	6	2	0	0	63.60
157	94	July	5	4	6	3	0	0	124.45
158	110	July	5	4	7	2	0	0	110.70
159	96	July	5	4	10	1	0	0	74.07
160	79	July	5	4	10	2	0	0	134.10
161	115	July	6	1	4	2	2	0	167.00
162	111	July	6	1	3	2	0	0	123.00
163	51	July	6	1	3	2	0	0	117.81
164	94	July	6	1	3	3	0	0	171.32
165	81	July	6	1	3	2	2	0	210.00
166	84	July	6	1	3	2	0	1	97.00
167	51	July	6	1	3	3	0	0	117.81
168	111	July	6	0	0	2	0	0	0.00
169	0	July	6	0	0	1	0	0	0.00
170	2	July	6	1	0	2	1	0	131.00
171	7	July	6	1	1	2	0	0	98.00
172	98	July	6	1	1	2	0	0	87.30
173	95	July	6	1	2	2	0	0	97.00
174	48	July	6	1	3	2	0	0	167.00
175	66	July	6	1	3	2	0	0	91.50
176	104	July	6	1	3	2	0	0	73.80
177	28	July	6	1	4	2	0	0	123.00
178	34	July	6	1	4	2	0	0	175.00
179	98	July	6	1	5	2	0	0	117.80
180	104	July	6	1	5	2	0	0	117.63
181	68	July	6	2	5	2	2	0	185.00
182	86	July	6	2	5	1	0	0	71.00
183	258	July	6	2	5	2	0	0	47.25
184	111	July	6	3	5	2	0	0	151.00
185	94	July	6	3	7	2	0	0	87.30
186	112	July	6	3	7	2	0	0	120.60
187	100	July	6	3	7	2	0	0	63.86
188	33	July	6	3	7	2	0	0	157.10
189	97	July	6	3	7	2	0	0	91.37
190	80	July	6	3	8	1	0	0	73.00
191	90	July	6	4	10	2	0	0	110.70
192	111	July	6	4	10	2	0	0	93.60
193	65	July	6	2	5	2	0	0	83.50
194	67	July	7	0	2	2	0	0	73.80
195	55	July	7	0	3	2	0	0	82.00
196	21	July	7	0	3	2	1	0	185.50
197	8	July	7	0	0	2	0	0	0.00
198	8	July	7	0	0	2	0	0	0.00
199	0	July	7	0	1	1	0	0	109.80
200	0	July	7	0	1	3	0	0	195.00
201	0	July	7	0	1	1	0	0	109.80
202	8	July	7	0	4	3	2	0	193.00
203	66	July	7	0	4	2	0	0	97.00
204	88	July	7	0	4	3	0	0	150.00
205	0	July	7	0	4	2	0	0	98.00
206	43	July	7	0	5	2	0	0	91.50
207	88	July	7	2	5	2	0	0	139.00
208	54	July	7	2	5	2	0	0	79.50
209	292	July	7	2	5	2	0	0	47.25
210	112	July	7	4	10	2	0	0	126.65
211	68	July	8	0	3	2	0	0	107.00
212	7	July	8	0	4	2	0	0	131.00
213	1	July	8	0	4	2	0	0	131.00
214	113	July	8	0	4	2	0	0	123.00
215	5	July	8	0	4	2	0	0	146.00
216	83	July	8	0	4	2	0	0	110.70
217	105	July	8	0	4	2	0	0	73.80
218	0	July	8	0	1	1	0	0	61.00
219	1	July	8	0	1	2	0	0	104.72
220	1	July	8	0	1	2	0	0	104.72
221	1	July	8	0	2	2	0	0	104.72
222	102	July	8	1	4	2	0	0	66.42
223	113	July	8	2	4	2	0	0	77.96
224	280	July	8	2	5	2	1	0	112.00
225	96	July	8	2	5	2	0	0	107.00
226	394	July	8	2	5	2	0	0	89.68
227	33	July	8	2	5	2	0	0	155.00
228	82	July	8	2	6	3	0	0	112.00
229	100	July	8	2	7	3	0	0	130.10
230	100	July	8	2	7	2	0	0	100.10
231	17	July	9	0	1	2	2	0	123.00
232	68	July	9	0	2	3	0	0	124.00
233	12	July	9	0	2	2	2	0	146.00
234	77	July	9	0	3	2	0	0	97.00
235	24	July	9	0	3	2	2	0	123.00
236	44	July	9	0	3	2	2	0	153.00
237	78	July	9	0	3	2	0	1	82.00
238	17	July	9	1	3	2	0	0	105.08
239	103	July	9	1	3	2	0	0	65.42
240	16	July	9	1	3	1	0	0	98.00
241	14	July	9	2	3	2	0	0	75.46
242	77	July	9	2	3	2	0	0	65.50
243	90	July	9	2	5	2	0	0	90.95
244	90	July	9	2	5	2	0	0	93.60
245	90	July	9	2	5	2	0	0	119.25
246	366	July	9	2	5	2	0	0	134.73
247	249	July	9	2	5	2	0	0	112.00
248	69	July	9	2	6	2	0	0	118.13
249	10	July	10	0	1	2	0	0	131.00
250	22	July	10	0	2	2	0	0	88.20
251	91	July	10	0	2	2	0	0	73.80
252	23	July	10	0	2	2	0	0	98.00
253	11	July	10	0	2	2	0	0	110.50
254	3	July	10	0	2	2	0	0	131.00
255	13	July	10	0	2	2	1	0	185.00
256	108	July	10	0	2	2	0	0	87.30
257	91	July	10	0	2	2	0	0	73.80
258	37	July	10	1	2	2	0	0	120.00
259	21	July	10	1	2	2	0	0	98.00
260	106	July	10	1	2	2	0	0	96.30
261	30	July	10	2	2	2	0	0	197.00
262	30	July	10	2	2	2	0	0	197.00
263	51	July	10	2	3	2	0	0	123.00
264	79	July	10	2	3	2	0	0	82.00
265	21	July	10	2	3	2	0	2	165.00
266	35	July	10	2	3	2	2	0	149.40
267	78	July	10	2	5	2	0	0	106.84
268	31	July	10	2	5	2	0	0	161.00
269	78	July	10	2	5	2	0	0	134.43
270	78	July	10	2	5	2	0	0	144.43
271	44	July	10	2	5	1	0	0	152.00
272	34	July	10	2	5	2	1	0	125.54
273	87	July	10	2	5	2	1	1	133.83
274	11	July	10	2	6	3	1	0	159.75
275	115	July	10	2	7	2	0	0	120.60
276	86	July	10	3	7	2	0	0	112.20
277	41	July	10	4	7	2	0	1	110.60
278	32	July	10	4	9	2	0	0	105.90
279	34	July	10	2	5	2	1	0	95.27
280	34	July	10	2	5	2	0	0	108.83
281	100	July	11	2	3	2	1	0	153.96
282	44	July	11	2	3	2	0	0	120.60
283	304	July	11	2	4	2	0	1	90.67
284	36	July	11	2	4	2	0	0	126.67
285	117	July	11	2	4	3	0	0	144.40
286	70	July	11	2	4	2	0	0	99.50
287	110	July	11	2	5	2	0	0	139.40
288	109	July	11	2	5	2	0	0	73.80
289	33	July	11	2	2	2	0	0	89.97
290	33	July	11	2	2	2	0	0	123.00
291	33	July	11	2	2	2	0	0	123.00
292	0	July	11	0	1	1	0	0	123.00
293	0	July	11	0	1	2	0	0	144.90
294	0	July	11	0	1	2	0	0	153.00
295	0	July	11	0	1	2	0	0	131.00
296	84	July	11	1	1	2	0	0	100.00
297	71	July	11	1	1	2	0	0	65.50
298	16	July	11	1	1	2	0	0	123.00
299	54	July	11	2	1	2	0	0	123.00
300	8	July	11	2	1	2	0	0	131.00
301	36	July	11	2	5	2	0	0	104.68
302	40	July	11	2	5	2	0	0	166.00
303	59	July	11	2	6	2	0	0	111.25
304	79	July	11	2	6	2	2	0	213.75
305	32	July	11	4	6	2	0	0	178.00
306	110	July	11	2	5	2	0	0	113.90
307	33	July	11	2	5	2	0	0	129.29
308	53	July	12	1	0	2	2	0	153.00
309	2	July	12	1	0	2	0	0	98.00
310	8	July	12	2	4	2	1	0	169.00
311	72	July	12	2	4	2	0	0	93.00
312	12	July	12	2	5	2	0	0	132.29
313	48	July	12	2	5	2	0	0	123.00
314	90	July	12	2	5	2	0	0	117.22
315	34	July	12	2	5	2	0	1	149.00
316	58	July	12	2	5	3	1	0	164.57
317	59	July	12	2	5	2	0	0	107.00
318	90	July	12	2	5	2	0	1	117.22
319	116	July	12	2	5	2	0	0	119.25
320	31	July	12	2	5	2	0	0	123.00
321	51	July	12	2	5	2	0	0	105.71
322	48	July	12	2	5	2	0	0	123.00
323	59	July	12	2	5	2	0	0	144.43
324	97	July	12	3	5	2	0	0	126.00
325	12	July	12	4	5	2	0	0	148.30
326	64	July	12	4	5	2	0	0	125.22
327	31	July	12	4	7	2	0	0	123.00
328	59	July	12	4	7	2	0	0	130.00
329	55	July	12	4	10	2	10	0	133.16
330	81	July	12	2	5	2	0	0	78.84
331	1	July	12	1	0	2	0	0	80.10
332	34	July	12	2	0	2	2	0	193.00
333	13	July	12	2	0	2	0	0	88.20
334	40	July	12	2	0	2	0	0	90.71
335	1	July	12	2	0	2	0	0	114.50
336	34	July	12	2	0	2	0	0	120.20
337	88	July	12	2	1	2	0	0	79.50
338	9	July	12	2	1	2	0	0	117.90
339	24	July	12	2	1	2	0	0	128.00
340	97	July	12	2	2	2	0	0	90.95
341	60	July	12	2	2	2	0	1	107.00
342	100	July	12	2	2	2	2	0	130.05
343	50	July	12	2	3	2	0	0	123.00
344	47	July	12	2	3	2	0	0	103.80
345	8	July	12	2	3	2	2	0	196.00
346	34	July	12	2	3	2	0	0	149.40
347	47	July	13	2	5	2	0	0	175.71
348	115	July	13	2	5	2	0	1	119.70
349	79	July	13	2	5	2	0	0	100.86
350	91	July	13	2	5	2	0	0	100.86
351	98	July	13	1	1	2	0	0	82.00
352	109	July	13	1	1	2	0	0	73.80
353	0	July	13	1	1	2	0	0	117.90
354	98	July	13	1	1	2	0	0	82.00
355	0	July	13	1	1	4	0	0	150.00
356	9	July	13	1	1	2	0	0	161.00
357	62	July	13	1	1	2	0	0	64.00
358	45	July	13	1	1	2	0	0	123.00
359	42	July	13	1	2	2	0	0	110.00
360	54	July	13	1	2	2	0	0	88.20
361	51	July	13	1	2	2	0	0	130.00
362	54	July	13	1	2	2	0	0	88.20
363	58	July	13	1	2	2	0	0	165.00
364	0	July	13	1	3	1	0	0	114.00
365	60	July	13	1	4	2	0	0	79.50
366	321	July	13	1	4	2	0	0	132.80
367	40	July	13	1	4	2	0	0	120.00
368	51	July	13	1	4	2	0	0	79.50
369	38	July	13	1	4	2	0	0	120.00
370	75	July	13	1	4	2	0	0	144.20
371	101	July	13	1	4	2	0	0	107.20
372	42	July	13	1	4	2	0	0	120.00
373	40	July	13	1	4	2	0	0	120.00
374	109	July	13	1	4	3	0	0	163.80
375	81	July	13	1	5	2	0	0	98.50
376	98	July	13	1	5	2	0	0	130.50
377	32	July	13	1	5	1	0	0	153.00
378	72	July	13	1	5	2	0	0	98.50
379	115	July	13	2	5	2	0	0	119.70
380	118	July	13	2	5	2	0	0	184.60
381	81	July	13	2	5	2	1	0	181.22
382	95	July	13	2	5	2	0	0	100.86
383	16	July	13	1	0	2	0	0	100.20
384	56	July	13	1	3	2	0	0	134.25
385	88	July	13	3	5	2	0	0	96.30
386	41	July	13	3	6	2	0	0	83.09
387	40	July	14	0	1	2	0	0	105.50
388	1	July	14	0	1	1	0	0	134.00
389	1	July	14	0	1	2	0	0	8.00
390	1	July	14	0	2	2	0	0	146.00
391	76	July	14	0	4	2	0	0	126.00
392	0	July	14	0	4	2	0	0	111.15
393	49	July	14	0	5	2	0	0	136.20
394	76	July	14	0	5	2	0	0	101.80
395	73	July	14	1	5	2	0	0	127.00
396	73	July	14	1	5	2	1	0	161.50
397	317	July	14	1	5	2	2	0	230.67
398	112	July	14	2	5	1	0	0	65.70
399	6	July	14	2	5	2	0	0	180.00
400	8	July	14	2	5	2	0	0	168.57
401	96	July	14	2	7	2	0	0	107.67
402	96	July	14	2	7	2	0	0	96.90
403	99	July	14	2	7	2	0	0	107.00
404	66	July	14	2	9	2	0	0	73.41
405	38	July	14	4	10	2	0	0	109.90
406	38	July	14	4	10	2	0	0	109.90
407	113	July	14	4	11	3	0	0	187.50
408	0	July	14	0	1	1	0	0	134.00
409	62	July	15	0	3	2	0	0	91.50
410	39	July	15	0	3	2	0	0	132.44
411	37	July	15	2	4	2	0	0	106.90
412	58	July	15	2	5	2	0	0	131.86
413	37	July	15	2	6	2	2	0	216.13
414	57	July	15	0	2	2	0	0	107.00
415	57	July	15	0	2	2	0	0	107.00
416	57	July	15	0	2	2	0	0	107.00
417	57	July	15	0	2	2	0	0	107.00
418	57	July	15	0	2	2	0	0	107.00
419	83	July	15	2	7	2	2	0	190.33
420	57	July	15	0	2	2	0	0	107.00
421	57	July	15	0	2	1	0	0	94.00
422	57	July	15	0	2	2	0	0	0.00
423	57	July	15	0	2	2	0	0	98.75
424	57	July	15	0	2	3	0	0	148.23
425	57	July	15	0	2	1	0	0	94.00
426	57	July	15	0	2	2	0	0	107.00
427	57	July	15	0	2	2	0	0	107.00
428	57	July	15	0	2	3	0	0	148.23
429	57	July	15	0	2	1	0	0	0.00
430	57	July	15	0	2	2	0	0	107.00
431	57	July	15	0	2	2	0	0	107.00
432	57	July	15	0	2	2	0	0	107.00
433	57	July	15	0	2	2	0	0	107.00
434	57	July	15	0	2	2	0	0	98.75
435	66	July	16	0	2	2	2	0	195.00
436	13	July	16	0	2	2	0	0	120.60
437	50	July	16	0	1	2	0	0	123.20
438	48	July	16	0	1	1	0	0	112.00
439	0	July	16	0	1	2	0	0	123.20
440	7	July	16	0	1	2	2	0	169.00
441	0	July	16	0	2	2	2	0	198.00
442	66	July	16	0	2	2	0	0	103.50
443	13	July	16	0	2	2	1	0	135.60
444	66	July	16	0	2	2	0	0	103.50
445	10	July	16	0	3	2	0	0	184.00
446	10	July	16	0	3	2	0	0	134.00
447	58	July	16	0	3	2	0	0	147.00
448	17	July	16	0	3	2	0	0	151.33
449	19	July	16	0	3	2	0	0	121.33
450	10	July	16	2	3	2	0	0	150.20
451	12	July	16	2	3	2	0	0	139.00
452	10	July	16	2	3	1	0	0	150.20
453	63	July	16	1	3	2	0	0	75.44
454	35	July	16	1	3	2	0	0	135.00
455	113	July	16	2	4	2	0	0	166.00
456	35	July	16	2	4	2	0	0	135.00
457	68	July	16	2	5	2	0	0	130.00
458	113	July	16	2	6	2	0	0	96.30
459	21	July	16	4	10	1	0	0	160.00
460	6	July	17	0	0	2	0	0	0.00
461	7	July	17	0	2	2	0	0	127.25
462	17	July	17	0	2	2	0	0	164.00
463	1	July	17	0	2	2	0	0	144.50
464	2	July	17	0	2	2	0	0	112.00
465	15	July	17	0	2	2	0	0	134.00
466	7	July	17	0	2	2	0	0	127.25
467	11	July	17	0	2	2	0	0	155.50
468	6	July	17	0	2	2	0	0	110.50
469	1	July	17	0	2	2	0	0	144.50
470	1	July	17	0	2	2	0	0	144.50
471	48	July	17	0	2	2	0	0	123.00
472	15	July	17	0	2	2	0	0	120.60
473	3	July	17	0	2	1	0	0	107.60
474	23	July	17	1	2	2	0	0	120.60
475	53	July	17	2	3	2	0	0	107.00
476	53	July	17	2	3	2	1	0	133.75
477	94	July	17	2	3	2	0	0	103.50
478	64	July	17	2	3	1	0	0	84.80
479	53	July	17	2	3	2	0	0	107.00
480	53	July	17	2	3	1	0	0	107.00
481	64	July	17	2	3	1	0	0	84.80
482	53	July	17	2	3	2	0	0	107.00
483	24	July	17	2	3	3	1	0	195.00
484	24	July	17	2	4	2	0	0	164.00
485	23	July	17	2	5	2	2	0	195.00
486	53	July	17	2	5	2	0	0	125.00
487	23	July	17	2	5	2	2	0	195.00
488	90	July	17	2	5	2	0	0	132.30
489	79	July	17	2	5	2	0	0	145.00
490	43	July	17	2	5	2	0	0	92.00
491	90	July	17	2	5	2	0	0	132.30
492	65	July	17	2	6	2	0	0	147.00
493	65	July	17	2	6	2	0	0	167.00
494	99	July	17	2	6	3	0	0	210.00
495	25	July	17	3	7	2	0	0	194.90
496	92	July	17	1	2	2	0	0	103.50
497	91	July	17	1	2	2	1	0	118.50
498	38	July	17	1	2	2	1	0	192.00
499	6	July	17	1	2	2	0	0	128.27
500	38	July	17	1	2	2	0	0	135.00
501	13	July	17	1	2	2	0	0	126.30
502	32	July	17	1	2	2	0	0	154.00
503	315	July	17	1	2	2	0	0	96.30
504	8	July	17	1	2	2	0	0	126.30
505	0	July	17	0	1	2	0	0	136.00
506	91	July	17	1	2	2	1	0	118.50
507	3	July	17	1	2	2	0	0	116.33
